"column_name","data_type","is_nullable","column_default"
"seq_scan","bigint","YES",NULL
"scope_schema","name","YES",NULL
"is_grantable","character varying","YES",NULL
"typreceive","regproc","NO",NULL
"datid","oid","YES",NULL
"datcollate","name","NO",NULL
"tmplinit","regproc","NO",NULL
"buffers_checkpoint","bigint","YES",NULL
"srvid","oid","YES",NULL
"udt_schema","name","YES",NULL
"udt_name","name","YES",NULL
"collprovider","""char""","NO",NULL
"oid","oid","NO",NULL
"wal_fpi","bigint","YES",NULL
"typname","name","NO",NULL
"is_supported","character varying","YES",NULL
"xmin","xid","YES",NULL
"indrelid","oid","NO",NULL
"prosupport","regproc","NO",NULL
"admin_option","boolean","NO",NULL
"authorization_identifier","name","YES",NULL
"tup_fetched","bigint","YES",NULL
"maximum_cardinality","integer","YES",NULL
"backend_start","timestamp with time zone","YES",NULL
"last_archived_time","timestamp with time zone","YES",NULL
"evtevent","name","NO",NULL
"collation_name","name","YES",NULL
"aggmtransfn","regproc","NO",NULL
"check_clause","character varying","YES",NULL
"scope_name","name","YES",NULL
"udt_name","name","YES",NULL
"trigger_catalog","name","YES",NULL
"foreign_data_wrapper_language","character varying","YES",NULL
"prrelid","oid","NO",NULL
"stats_reset","timestamp with time zone","YES",NULL
"indexrelname","name","YES",NULL
"permissive","text","YES",NULL
"foreign_data_wrapper_catalog","name","YES",NULL
"oid","oid","NO",NULL
"scope_schema","name","YES",NULL
"trusted","boolean","YES",NULL
"numeric_precision_radix","integer","YES",NULL
"conppeqop","ARRAY","YES",NULL
"table_catalog","name","YES",NULL
"objid","oid","NO",NULL
"name","text","YES",NULL
"routine_schema","name","YES",NULL
"udt_name","name","YES",NULL
"usesysid","oid","YES",NULL
"last_vacuum","timestamp with time zone","YES",NULL
"domain_name","name","YES",NULL
"constraint_catalog","name","YES",NULL
"data_type","character varying","YES",NULL
"pid","integer","YES",NULL
"received_lsn","pg_lsn","YES",NULL
"stanumbers1","ARRAY","YES",NULL
"oid","oid","NO",NULL
"character_octet_length","integer","YES",NULL
"collation_catalog","name","YES",NULL
"seqno","integer","YES",NULL
"ext_stats_computed","bigint","YES",NULL
"grantee","name","YES",NULL
"starelid","oid","NO",NULL
"object_type","character varying","YES",NULL
"object_type","character varying","YES",NULL
"min_value","bigint","YES",NULL
"tidx_blks_read","bigint","YES",NULL
"seq_scan","bigint","YES",NULL
"numeric_precision","integer","YES",NULL
"module_name","name","YES",NULL
"conparentid","oid","NO",NULL
"numeric_precision","integer","YES",NULL
"usesuper","boolean","YES",NULL
"oid","oid","NO",NULL
"sessions_killed","bigint","YES",NULL
"to_sql_specific_name","name","YES",NULL
"stavalues5","anyarray","YES",NULL
"action_orientation","character varying","YES",NULL
"tablename","name","YES",NULL
"sequence_catalog","name","YES",NULL
"probin","text","YES",NULL
"character_set_name","name","YES",NULL
"datetime_precision","integer","YES",NULL
"title","character varying","YES",NULL
"oid","oid","NO",NULL
"authorization_identifier","name","YES",NULL
"setdatabase","oid","NO",NULL
"last_analyze","timestamp with time zone","YES",NULL
"dtd_identifier","name","YES",NULL
"stxstattarget","integer","NO",NULL
"name","text","YES",NULL
"specific_name","name","YES",NULL
"schemaname","name","YES",NULL
"oprcom","oid","NO",NULL
"maximum_cardinality","integer","YES",NULL
"label","text","YES",NULL
"as_locator","character varying","YES",NULL
"object_schema","name","YES",NULL
"specific_schema","name","YES",NULL
"attisdropped","boolean","NO",NULL
"collation_catalog","name","YES",NULL
"domain_schema","name","YES",NULL
"stakind5","smallint","NO",NULL
"object_name","name","YES",NULL
"is_final","character varying","YES",NULL
"action_timing","character varying","YES",NULL
"tmplname","name","NO",NULL
"proargtypes","ARRAY","NO",NULL
"funcname","name","YES",NULL
"confrelid","oid","NO",NULL
"specific_name","name","YES",NULL
"schemaname","name","YES",NULL
"blk_write_time","double precision","YES",NULL
"reltoastrelid","oid","NO",NULL
"typinput","regproc","NO",NULL
"indcollation","ARRAY","NO",NULL
"lanispl","boolean","NO",NULL
"rolname","name","NO",NULL
"aggmtransspace","integer","NO",NULL
"character_set_name","name","YES",NULL
"comment_business_key","integer","NO",NULL
"extversion","text","NO",NULL
"constraint_schema","name","YES",NULL
"fdwacl","ARRAY","YES",NULL
"cfgparser","oid","NO",NULL
"schema_owner","name","YES",NULL
"oprnegate","oid","NO",NULL
"member","oid","NO",NULL
"udt_catalog","name","YES",NULL
"indnkeyatts","smallint","NO",NULL
"staop1","oid","NO",NULL
"amopmethod","oid","NO",NULL
"relname","name","YES",NULL
"typowner","oid","NO",NULL
"wal_buffers_full","bigint","YES",NULL
"umuser","oid","YES",NULL
"grantee","name","YES",NULL
"maximum_cardinality","integer","YES",NULL
"numeric_precision_radix","integer","YES",NULL
"oid","oid","YES",NULL
"sourceline","integer","YES",NULL
"state","text","YES",NULL
"event_object_table","name","YES",NULL
"stacoll4","oid","NO",NULL
"specific_catalog","name","YES",NULL
"tuple","smallint","YES",NULL
"subbinary","boolean","NO",NULL
"ordinal_position","integer","YES",NULL
"last_autovacuum","timestamp with time zone","YES",NULL
"correlation","real","YES",NULL
"aggfinalextra","boolean","NO",NULL
"pubdelete","boolean","NO",NULL
"privilege_type","character varying","YES",NULL
"prpubid","oid","NO",NULL
"tup_deleted","bigint","YES",NULL
"pid","integer","YES",NULL
"confkey","ARRAY","YES",NULL
"is_trigger_insertable_into","character varying","YES",NULL
"classid","oid","NO",NULL
"grantee","name","YES",NULL
"opcdefault","boolean","NO",NULL
"confirmed_flush_lsn","pg_lsn","YES",NULL
"proleakproof","boolean","NO",NULL
"current_locker_pid","bigint","YES",NULL
"child_tables_done","bigint","YES",NULL
"relchecks","smallint","NO",NULL
"usecreatedb","boolean","YES",NULL
"sql_data_access","character varying","YES",NULL
"udt_schema","name","YES",NULL
"collation_schema","name","YES",NULL
"srvname","name","YES",NULL
"udt_schema","name","YES",NULL
"idx_blks_hit","bigint","YES",NULL
"routine_type","character varying","YES",NULL
"seq_scan","bigint","YES",NULL
"typnamespace","oid","NO",NULL
"wal_bytes","numeric","YES",NULL
"indnatts","smallint","NO",NULL
"idx_scan","bigint","YES",NULL
"udt_schema","name","YES",NULL
"rolcanlogin","boolean","YES",NULL
"stavalues1","anyarray","YES",NULL
"last_archived_wal","text","YES",NULL
"roident","oid","NO",NULL
"default_character_set_catalog","name","YES",NULL
"evtname","name","NO",NULL
"attcompression","""char""","NO",NULL
"tup_updated","bigint","YES",NULL
"attnames","ARRAY","YES",NULL
"condefault","boolean","NO",NULL
"result_cast_char_set_catalog","name","YES",NULL
"character_repertoire","name","YES",NULL
"lanowner","oid","NO",NULL
"aggmfinalfn","regproc","NO",NULL
